Name,Location,Price,Rating,Rating meaning,Distance from the centre (km),Breakfast,Free cancelation
The Grand at Trafalgar Square,Westminster Borough,682,8.1,Very good,100 m from centre,-,-
Hotel Cafe Royal,Westminster Borough,2092,9.3,Superb,0.6 ,-,Free cancellation
The Crescent Hyde Park,Westminster Borough,516,8.0,Very good,3.5 ,-,-
Hilton London Hyde Park,Bayswater,573,7.3,Good,4.2 ,-,-
Norfolk Towers Paddington,Westminster Borough,433,7.6,Good,3.2 ,-,-
"Club Quarters Hotel Covent Garden Holborn, London",Camden,619,8.0,Very good,1.2 ,-,-
The Angel of Bow,Tower Hamlets,292,8.0,Very good,7.5 ,-,Free cancellation
Park Plaza London Waterloo,Lambeth,608,8.2,Very good,1.4 ,-,-
Grange Buckingham Hotel,Camden,724,7.6,Good,1.4 ,-,Free cancellation
Canary Riverside Plaza Hotel,Tower Hamlets,800,8.4,Very good,6.9 ,Breakfast included,Free cancellation
Megaro Hotel,Camden,817,8.3,Very good,2.5 ,-,Free cancellation
London Hilton on Park Lane,Westminster Borough,691,7.8,Good,1.6 ,-,-
Lansbury Heritage Hotel,Tower Hamlets,456,8.7,Fabulous,7.8 ,-,-
Pullman London St Pancras,Camden,621,8.4,Very good,2.4 ,-,-
Novotel London Canary Wharf,Tower Hamlets,402,8.4,Very good,7.3 ,-,-
39 Studios,Westminster Borough,461,7.5,Good,4 ,-,-
The Kings Head Hotel,Acton,311,7.3,Good,10.1 ,-,-
Park Plaza Victoria London,Westminster Borough,671,8.2,Very good,1.7 ,-,-
Troy Hotel,Westminster Borough,443,7.6,Good,4 ,Breakfast included,Free cancellation
St Athans Hotel,Camden,350,7.3,Good,2 ,-,-
Doubletree By Hilton London - Greenwich,Greenwich,422,8.2,Very good,8.3 ,-,-
Hotel Shepherds Bush London,Hammersmith and Fulham,407,8.1,Very good,6.8 ,-,-
St George Hotel,Westminster Borough,333,4.9,Review score,3.3 ,Breakfast included,Free cancellation
Taj 51 Buckingham Gate Suites and Residences,Westminster Borough,1403,9.3,Superb,1.2 ,Breakfast included,Free cancellation
Peckham Rooms Hotel,Southwark,281,6.9,Review score,5.8 ,-,Free cancellation
Mimi's Hotel Soho,Westminster Borough,554,7.9,Good,0.8 ,-,-
The Hari London,Kensington and Chelsea,1313,8.9,Fabulous,2.3 ,-,Free cancellation
Jumeirah Lowndes Hotel,Kensington and Chelsea,1072,8.0,Very good,2.3 ,-,Free cancellation
The Berkeley,Westminster Borough,1964,9.1,Superb,2.1 ,-,Free cancellation
The Pilgrm,Westminster Borough,500,7.7,Good,3.4 ,-,-
The Brent Hotel - London - Wembley,Wembley,366,8.1,Very good,13.7 ,-,-
COVE Cannon Street,City of London,475,9.1,Superb,2.4 ,-,-
The Gate ApartHotel London,Tower Hamlets,547,8.7,Fabulous,4.2 ,-,-
Leonardo Royal Hotel London City - Tower of London,City of London,572,8.4,Very good,3.5 ,-,-
The California,Camden,676,7.7,Good,2.5 ,-,Free cancellation
The William IV,Brent,373,8.1,Very good,6.7 ,Breakfast included,Free cancellation
THE KNIGHT OF NOTTINGHILL,Kensington and Chelsea,701,8.5,Very good,5.8 ,-,Free cancellation
The Z Hotel Trafalgar,Westminster Borough,567,8.4,Very good,0.3,-,-
"Threadneedles, Autograph Collection",City of London,587,8.1,Very good,3 ,-,-
Park International Hotel,Kensington and Chelsea,493,7.6,Good,4.4 ,-,-
Regency Hotel Parkside,Westminster Borough,676,8.0,Very good,2.4 ,-,Free cancellation
Conrad London St James,Westminster Borough,782,8.8,Fabulous,1 ,-,-
DoubleTree by Hilton London Victoria,Westminster Borough,647,7.7,Good,1.9 ,-,-
Good Hotel London,Newham,289,7.9,Good,10.2 ,-,-
The Carlton Tower Jumeirah,Kensington and Chelsea,1854,8.9,Fabulous,2.4 ,-,Free cancellation
Holmes Hotel London,Westminster Borough,692,8.6,Fabulous,2.5 ,-,-
The Z Hotel Tottenham Court Road,Westminster Borough,573,8.0,Very good,1 ,-,-
The Brent Hotel - London - Wembley,Wembley,337,8.1,Very good,13.7 ,-,-
Pullman London St Pancras,Camden,621,8.4,Very good,2.4 ,-,-
Novotel London Canary Wharf,Tower Hamlets,402,8.4,Very good,7.3 ,-,-
39 Studios,Westminster Borough,461,7.5,Good,4 ,-,-
Central Hoxton Shoreditch,Hackney,387,7.4,Good,4.3 ,-,-
Park Plaza Victoria London,Westminster Borough,671,8.2,Very good,1.7 ,-,-
Doubletree By Hilton London - Greenwich,Greenwich,422,8.2,Very good,8.3 ,-,-
Hotel Shepherds Bush London,Hammersmith and Fulham,407,8.1,Very good,6.8 ,-,-
Blakemore Hyde Park,Westminster Borough,509,8.2,Very good,3.9 ,-,-
Albro House Hotel,Westminster Borough,376,7.7,Good,3.2 ,Breakfast included,-
"The Clermont London, Charing Cross",Westminster Borough,763,8.7,Fabulous,250 m from centre,-,-
THE KNIGHT OF NOTTINGHILL,Kensington and Chelsea,645,8.5,Very good,5.8 ,-,Free cancellation
St George Hotel,Westminster Borough,333,4.9,Review score,3.3 ,Breakfast included,Free cancellation
Taj 51 Buckingham Gate Suites and Residences,Westminster Borough,1403,9.3,Superb,1.2 ,Breakfast included,Free cancellation
Mimi's Hotel Soho,Westminster Borough,535,7.9,Good,0.8 ,-,-
The Hari London,Kensington and Chelsea,1313,8.9,Fabulous,2.3 ,-,Free cancellation
Jumeirah Lowndes Hotel,Kensington and Chelsea,1072,8.0,Very good,2.3 ,-,Free cancellation
Signature Townhouse London Hyde Park,Westminster Borough,736,6.9,Review score,3.7 ,-,Free cancellation
The Berkeley,Westminster Borough,1964,9.1,Superb,2.1 ,-,Free cancellation
The Pilgrm,Westminster Borough,500,7.7,Good,3.4 ,-,-
COVE Cannon Street,City of London,475,9.1,Superb,2.4 ,-,-
Great St Helen Hotel,City of London,408,7.7,Good,3.2 ,-,-
Leonardo Royal Hotel London City - Tower of London,City of London,572,8.4,Very good,3.5 ,-,-
Garth Hotel,Camden,249,5.2,Review score,1.6 ,-,-
Sea Containers London,Southwark,705,8.8,Fabulous,1.5 ,-,-
"Threadneedles, Autograph Collection",City of London,587,8.1,Very good,3 ,-,-
Park International Hotel,Kensington and Chelsea,493,7.6,Good,4.4 ,-,-
Regency Hotel Parkside,Westminster Borough,676,8.0,Very good,2.4 ,-,Free cancellation
Lords Hotel,Westminster Borough,355,6.8,Review score,4.5 ,Breakfast included,-
Conrad London St James,Westminster Borough,782,8.8,Fabulous,1 ,-,-
The Eaton Townhouse,Westminster Borough,525,7.5,Good,1.7 ,-,-
"The Lanesborough, Oetker Collection",Westminster Borough,2408,9.5,Exceptional,1.8 ,-,Free cancellation
