Price,Outbound Time,Outbound hours,Return Time,Return hours,Stops
160,17:45 – 21:20,5h 35m,13:55 – 23:40,7h 45m,1 stop
117,21:40 – 00:15+1,4h 35m,10:20 – 21:55,9h 35m,1 stop
127,15:20 – 20:55,7h 35m,16:10 – 20:50,2h 40m,1 stop
162,11:00 – 22:00,13h 00m,18:40 – 23:20,2h 40m,1 stop
215,15:50 – 19:30,5h 40m,18:40 – 23:20,2h 40m,1 stop
147,14:45 – 22:00,9h 15m,06:30 – 16:20,7h 50m,1 stop
191,17:15 – 18:10,2h 55m,13:55 – 23:40,7h 45m,direct
191,17:15 – 18:10,2h 55m,06:30 – 18:35,10h 05m,direct
160,07:00 – 12:55,7h 55m,06:40 – 14:25,5h 45m,1 stop
193,21:40 – 00:15+1,4h 35m,18:40 – 23:20,2h 40m,1 stop
120,15:20 – 00:15+1,10h 55m,15:55 – 20:30,2h 35m,1 stop
211,06:30 – 08:55,4h 25m,06:50 – 13:20,4h 30m,1 stop
205,14:45 – 22:00,9h 15m,18:40 – 23:20,2h 40m,1 stop
212,13:40 – 16:25,4h 45m,08:00 – 12:45,2h 45m,1 stop
252,17:15 – 18:10,2h 55m,18:10 – 00:40+1,4h 30m,direct
191,09:10 – 16:35,9h 25m,18:40 – 23:20,2h 40m,1 stop
167,15:50 – 19:30,5h 40m,13:55 – 23:40,7h 45m,1 stop
210,11:10 – 16:00,6h 50m,18:40 – 23:20,2h 40m,1 stop
167,15:50 – 21:40,7h 50m,06:40 – 14:25,5h 45m,1 stop
169,07:00 – 12:55,7h 55m,06:30 – 14:05,5h 35m,1 stop
215,19:30 – 22:10,4h 40m,06:30 – 12:55,4h 25m,1 stop
145,11:15 – 22:00,12h 45m,06:45 – 14:05,5h 20m,1 stop
140,15:20 – 20:55,7h 35m,15:55 – 20:30,2h 35m,1 stop
203,07:00 – 12:55,7h 55m,18:40 – 23:20,2h 40m,1 stop
210,13:40 – 17:00,5h 20m,06:50 – 13:20,4h 30m,1 stop
143,09:10 – 16:35,9h 25m,06:30 – 16:20,7h 50m,1 stop
183,15:15 – 21:35,8h 20m,17:45 – 23:55,4h 10m,1 stop
173,13:40 – 21:35,9h 55m,18:40 – 23:20,2h 40m,1 stop
167,11:10 – 17:40,8h 30m,06:40 – 14:25,5h 45m,1 stop
211,15:50 – 19:30,5h 40m,06:50 – 13:20,4h 30m,1 stop
147,06:20 – 17:20,13h 00m,06:30 – 14:05,5h 35m,1 stop
149,05:35 – 08:15,4h 40m,13:55 – 23:40,7h 45m,1 stop
225,06:00 – 08:40,4h 40m,17:45 – 23:55,4h 10m,1 stop
209,18:20 – 22:40,6h 20m,17:45 – 23:55,4h 10m,1 stop
128,17:45 – 21:05,5h 20m,10:20 – 21:55,9h 35m,1 stop
213,19:30 – 22:10,4h 40m,16:30 – 23:55,5h 25m,1 stop
167,11:10 – 16:00,6h 50m,13:55 – 23:40,7h 45m,1 stop
148,08:05 – 18:35,12h 30m,08:00 – 12:45,2h 45m,1 stop
227,06:00 – 08:40,4h 40m,17:45 – 23:55,4h 10m,1 stop
224,06:00 – 08:40,4h 40m,17:30 – 23:55,4h 25m,1 stop
225,06:00 – 08:40,4h 40m,17:30 – 23:55,4h 25m,1 stop
208,18:20 – 22:40,6h 20m,17:30 – 23:55,4h 25m,1 stop
204,17:45 – 21:05,5h 20m,18:40 – 23:20,2h 40m,1 stop
149,09:10 – 16:35,9h 25m,06:40 – 14:25,5h 45m,1 stop
160,07:00 – 12:55,7h 55m,13:55 – 23:40,7h 45m,1 stop
233,06:15 – 07:20,3h 05m,17:45 – 23:55,4h 10m,direct
230,13:40 – 16:25,4h 45m,17:45 – 23:55,4h 10m,1 stop
249,19:30 – 22:10,4h 40m,18:40 – 23:20,2h 40m,1 stop
229,13:40 – 16:25,4h 45m,17:30 – 23:55,4h 25m,1 stop
226,10:10 – 15:10,7h 00m,18:40 – 23:20,2h 40m,1 stop
188,09:10 – 16:35,9h 25m,17:20 – 23:59,4h 39m,1 stop
230,13:40 – 16:40,5h 00m,17:45 – 23:55,4h 10m,1 stop
164,18:20 – 22:55,6h 35m,15:55 – 20:30,2h 35m,1 stop
138,06:15 – 07:15,3h 00m,20:00 – 12:05+1,14h 05m,direct
229,13:40 – 16:40,5h 00m,17:30 – 23:55,4h 25m,1 stop
211,11:10 – 16:00,6h 50m,06:50 – 13:20,4h 30m,1 stop
192,17:45 – 21:20,5h 35m,06:50 – 13:20,4h 30m,1 stop
167,15:50 – 21:40,7h 50m,13:55 – 23:40,7h 45m,1 stop
240,14:45 – 17:20,4h 35m,10:15 – 18:35,6h 20m,1 stop
215,19:30 – 22:10,4h 40m,15:30 – 23:55,6h 25m,1 stop
194,23:55 – 00:45+1,2h 50m,08:25 – 15:10,4h 45m,direct
240,19:15 – 22:00,4h 45m,10:15 – 18:35,6h 20m,1 stop
230,06:00 – 09:40,5h 40m,17:45 – 23:55,4h 10m,1 stop
153,06:30 – 08:55,4h 25m,10:20 – 21:55,9h 35m,1 stop
206,14:45 – 17:20,4h 35m,13:55 – 23:40,7h 45m,1 stop
229,06:00 – 09:40,5h 40m,17:30 – 23:55,4h 25m,1 stop
241,06:00 – 08:40,4h 40m,06:30 – 12:55,4h 25m,1 stop
240,06:20 – 09:25,5h 05m,10:15 – 18:35,6h 20m,1 stop
167,11:10 – 17:40,8h 30m,13:55 – 23:40,7h 45m,1 stop
224,18:20 – 22:40,6h 20m,06:30 – 12:55,4h 25m,1 stop
242,06:00 – 08:40,4h 40m,06:30 – 12:55,4h 25m,1 stop
145,17:45 – 21:20,5h 35m,10:20 – 21:55,9h 35m,1 stop
180,09:00 – 22:00,15h 00m,18:40 – 23:20,2h 40m,1 stop
147,19:30 – 07:40+1,14h 10m,06:50 – 13:20,4h 30m,1 stop
246,13:40 – 16:25,4h 45m,06:30 – 12:55,4h 25m,1 stop
211,19:15 – 22:00,4h 45m,06:30 – 18:35,10h 05m,1 stop
182,19:15 – 22:00,4h 45m,10:20 – 21:55,9h 35m,1 stop
149,09:10 – 16:35,9h 25m,13:55 – 23:40,7h 45m,1 stop
250,15:55 – 18:40,4h 45m,17:45 – 23:55,4h 10m,1 stop
213,19:30 – 22:10,4h 40m,13:55 – 23:40,7h 45m,1 stop
205,06:20 – 17:20,13h 00m,18:40 – 23:20,2h 40m,1 stop
135,06:15 – 07:15,3h 00m,21:55 – 13:45+1,13h 50m,direct
249,15:55 – 18:40,4h 45m,17:30 – 23:55,4h 25m,1 stop
246,13:40 – 16:40,5h 00m,06:30 – 12:55,4h 25m,1 stop
193,15:20 – 00:15+1,10h 55m,18:40 – 23:20,2h 40m,1 stop
239,06:00 – 08:40,4h 40m,16:30 – 23:55,5h 25m,1 stop
218,11:10 – 16:00,6h 50m,10:20 – 17:40,5h 20m,1 stop
272,19:15 – 22:00,4h 45m,18:10 – 00:40+1,4h 30m,1 stop
223,18:20 – 22:40,6h 20m,16:30 – 23:55,5h 25m,1 stop
241,06:00 – 08:40,4h 40m,16:30 – 23:55,5h 25m,1 stop
230,13:40 – 18:40,7h 00m,17:45 – 23:55,4h 10m,1 stop
153,15:50 – 19:30,5h 40m,10:20 – 21:55,9h 35m,1 stop
218,11:00 – 17:20,8h 20m,10:15 – 18:35,6h 20m,1 stop
140,06:15 – 07:15,3h 00m,21:25 – 10:50+1,11h 25m,direct
229,13:40 – 18:40,7h 00m,17:30 – 23:55,4h 25m,1 stop
145,21:40 – 08:15+1,12h 35m,06:30 – 14:05,5h 35m,1 stop
212,19:30 – 22:10,4h 40m,13:30 – 23:55,8h 25m,1 stop
256,06:30 – 08:55,4h 25m,17:00 – 23:35,4h 35m,1 stop
174,06:00 – 16:25,12h 25m,06:50 – 13:20,4h 30m,1 stop
245,13:40 – 16:25,4h 45m,16:30 – 23:55,5h 25m,1 stop
223,10:10 – 15:10,7h 00m,10:20 – 17:40,5h 20m,1 stop
246,06:00 – 09:40,5h 40m,06:30 – 12:55,4h 25m,1 stop
212,15:20 – 20:55,7h 35m,18:40 – 23:20,2h 40m,1 stop
239,13:30 – 17:05,5h 35m,10:20 – 17:40,5h 20m,1 stop
242,06:00 – 10:25,6h 25m,17:45 – 23:55,4h 10m,1 stop
224,14:45 – 17:20,4h 35m,06:30 – 18:35,10h 05m,1 stop
245,13:40 – 16:40,5h 00m,16:30 – 23:55,5h 25m,1 stop
241,06:00 – 10:25,6h 25m,17:30 – 23:55,4h 25m,1 stop
248,17:45 – 21:20,5h 35m,17:00 – 23:35,4h 35m,1 stop
187,09:10 – 16:35,9h 25m,10:20 – 17:40,5h 20m,1 stop
160,02:55 – 15:30,14h 35m,08:00 – 12:45,2h 45m,1 stop
188,11:00 – 17:20,8h 20m,06:30 – 18:35,10h 05m,1 stop
